workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
STRIDED_GEMM,512,AMD,0.0003210643998746,16T,0.0675389177373864,16T,2.168275909047525e-05,16T
STRIDED_GEMM,512,INTEL,0.0002529232124874,16T,0.0398910669031931,8T,1.0301292962434046e-05,16T
STRIDED_GEMM,1024,3090,0.0001221521401243,gpu_resident,0.0405251289432649,gpu_resident,4.94656256546926e-06,gpu_resident
STRIDED_GEMM,1024,5060ti,0.0004506816133393,gpu_resident,0.0562879675529517,gpu_resident,2.536605157483985e-05,gpu_resident
STRIDED_GEMM,1024,AMD,0.0016064703525641,32T,0.4434588682242991,16T,0.0007378120717038,32T
STRIDED_GEMM,1024,INTEL,0.001775143738977,8T,0.2627173336594912,8T,0.0004816048394413,8T
STRIDED_GEMM,2048,3090,0.0007647087155963,gpu_resident,0.2575174506828528,gpu_resident,0.0001971587218874,gpu_resident
STRIDED_GEMM,2048,5060ti,0.0035091747404844,gpu_resident,0.47328125,gpu_resident,0.001661582233947,gpu_resident
STRIDED_GEMM,2048,AMD,0.0083304173553719,64T,1.998782991735537,64T,0.0166475496378321,64T
STRIDED_GEMM,2048,INTEL,0.013799102739726,8T,2.131461861842105,8T,0.0290607425685601,8T
STRIDED_GEMM,4096,3090,0.0055562472222222,gpu_resident,1.798779005524862,gpu_resident,0.009979714305943,gpu_resident
STRIDED_GEMM,4096,5060ti,0.0281295277777777,gpu_resident,3.884069444444444,gpu_resident,0.1092629191994598,gpu_resident
STRIDED_GEMM,4096,AMD,0.0542776052631578,32T,14.17582722222222,64T,0.8247222312194875,32T
STRIDED_GEMM,4096,INTEL,0.1056568,10T,17.423373222222224,8T,1.90173232383973,10T
STRIDED_GEMM,8192,3090,0.041750125,gpu_resident,13.693625,gpu_resident,0.572001785139757,gpu_resident
STRIDED_GEMM,8192,5060ti,0.2234366,gpu_resident,31.0421,gpu_resident,6.953095192819999,gpu_resident
STRIDED_GEMM,8192,AMD,0.4591805,32T,116.35490383333334,64T,55.82766280139056,64T
STRIDED_GEMM,8192,INTEL,0.92879425,10T,144.80790275,8T,138.64133311603737,10T
STRIDED_GEMM,16384,3090,0.332657375,gpu_resident,111.708625,gpu_resident,37.24682131112501,gpu_resident
STRIDED_GEMM,16384,5060ti,1.7920859999999998,gpu_resident,291.865,gpu_resident,522.988512119,gpu_resident
STRIDED_GEMM,16384,AMD,3.469416,32T,921.1224775,64T,3382.1318630827923,64T
STRIDED_GEMM,16384,INTEL,7.504099,10T,1154.6073645,8T,8910.065139680819,8T
